TRANSACTIONS REPORT
+---+----+-------------+----------------------------------------------------------+
| ID|Time|    Initiator|                                                 Operation|
|135|  23|   retailer-5|               MarketingOperation(discountPercentage=25.0)|
|132|  23|distributor-4|                        DistributionOperation(distance=49)|
+---+----+-------------+----------------------------------------------------------+


PARTIES REPORT
+-------------+--------+---------------+------------------------------------------------------------------------------------------------------+
|        Party| Balance|Blockchain size|                                                                                        Food materials|
+-------------+--------+---------------+------------------------------------------------------------------------------------------------------+
|     farmer-1| 1544.57|             34|                                                                                                    []|
|   importer-2| 1054.39|             34|                                                                                                    []|
|  regulator-3|10000.00|             34|                                                                                                    []|
|distributor-4| 5415.92|             34|                                                                                                    []|
|   retailer-5|19900.73|             34|                                                                                                    []|
|   customer-6| 9084.39|             34|[tomato, strawberry, cheesse, salad, potato, cabbage, melon, egg, cucumber, pear, apple, banana, milk]|
+-------------+--------+---------------+------------------------------------------------------------------------------------------------------+


MATERIALS REPORT
+-------------+--------------------------------------------+----+
|        Party|                                   Operation|Time|
+-------------+--------------------------------------------+----+
|             |                                            |    |
|        APPLE|                                            |    |
|     farmer-1|                          HarvestOperation()|   6|
|     farmer-1|      Transfer(from=farmer-1, to=importer-2)|   9|
|   importer-2|                           ImportOperation()|  10|
|   importer-2|   Transfer(from=importer-2, to=regulator-3)|  18|
|  regulator-3|                       InspectionOperation()|  21|
|             |                                            |    |
|         PEAR|                                            |    |
|     farmer-1|                          HarvestOperation()|   5|
|     farmer-1|      Transfer(from=farmer-1, to=importer-2)|   8|
|   importer-2|                           ImportOperation()|   9|
|   importer-2|   Transfer(from=importer-2, to=regulator-3)|  18|
|  regulator-3|                       InspectionOperation()|  20|
|  regulator-3|Transfer(from=regulator-3, to=distributor-4)|  23|
|             |                                            |    |
|        MELON|                                            |    |
|     farmer-1|                          HarvestOperation()|   4|
|     farmer-1|      Transfer(from=farmer-1, to=importer-2)|   7|
|   importer-2|                           ImportOperation()|   8|
|   importer-2|   Transfer(from=importer-2, to=regulator-3)|  11|
|  regulator-3|                       InspectionOperation()|  15|
|  regulator-3|Transfer(from=regulator-3, to=distributor-4)|  18|
|distributor-4|          DistributionOperation(distance=79)|  19|
|distributor-4| Transfer(from=distributor-4, to=retailer-5)|  22|
|   retailer-5| MarketingOperation(discountPercentage=25.0)|  23|
|             |                                            |    |
|   STRAWBERRY|                                            |    |
|     farmer-1|                          HarvestOperation()|   1|
|     farmer-1|      Transfer(from=farmer-1, to=importer-2)|   4|
|   importer-2|                           ImportOperation()|   5|
|   importer-2|   Transfer(from=importer-2, to=regulator-3)|   8|
|  regulator-3|                       InspectionOperation()|  10|
|  regulator-3|Transfer(from=regulator-3, to=distributor-4)|  13|
|distributor-4|          DistributionOperation(distance=96)|  14|
|distributor-4| Transfer(from=distributor-4, to=retailer-5)|  17|
|   retailer-5| MarketingOperation(discountPercentage=13.0)|  18|
|   retailer-5|    Transfer(from=retailer-5, to=customer-6)|  21|
|             |                                            |    |
|       BANANA|                                            |    |
|     farmer-1|                          HarvestOperation()|   6|
|     farmer-1|      Transfer(from=farmer-1, to=importer-2)|   9|
|   importer-2|                           ImportOperation()|  10|
|   importer-2|   Transfer(from=importer-2, to=regulator-3)|  18|
|  regulator-3|                       InspectionOperation()|  22|
|             |                                            |    |
|       TOMATO|                                            |    |
|     farmer-1|                          HarvestOperation()|   1|
|     farmer-1|      Transfer(from=farmer-1, to=importer-2)|   4|
|   importer-2|                           ImportOperation()|   5|
|   importer-2|   Transfer(from=importer-2, to=regulator-3)|   8|
|  regulator-3|                       InspectionOperation()|   9|
|  regulator-3|Transfer(from=regulator-3, to=distributor-4)|  12|
|distributor-4|          DistributionOperation(distance=77)|  13|
|distributor-4| Transfer(from=distributor-4, to=retailer-5)|  16|
|   retailer-5|  MarketingOperation(discountPercentage=0.0)|  17|
|   retailer-5|    Transfer(from=retailer-5, to=customer-6)|  20|
|             |                                            |    |
|       POTATO|                                            |    |
|     farmer-1|                          HarvestOperation()|   3|
|     farmer-1|      Transfer(from=farmer-1, to=importer-2)|   6|
|   importer-2|                           ImportOperation()|   7|
|   importer-2|   Transfer(from=importer-2, to=regulator-3)|  10|
|  regulator-3|                       InspectionOperation()|  13|
|  regulator-3|Transfer(from=regulator-3, to=distributor-4)|  16|
|distributor-4|          DistributionOperation(distance=77)|  17|
|distributor-4| Transfer(from=distributor-4, to=retailer-5)|  20|
|   retailer-5| MarketingOperation(discountPercentage=22.0)|  21|
|             |                                            |    |
|     CUCUMBER|                                            |    |
|     farmer-1|                          HarvestOperation()|   5|
|     farmer-1|      Transfer(from=farmer-1, to=importer-2)|   8|
|   importer-2|                           ImportOperation()|   9|
|   importer-2|   Transfer(from=importer-2, to=regulator-3)|  18|
|  regulator-3|                       InspectionOperation()|  19|
|  regulator-3|Transfer(from=regulator-3, to=distributor-4)|  22|
|distributor-4|          DistributionOperation(distance=49)|  23|
|             |                                            |    |
|        SALAD|                                            |    |
|     farmer-1|                          HarvestOperation()|   2|
|     farmer-1|      Transfer(from=farmer-1, to=importer-2)|   5|
|   importer-2|                           ImportOperation()|   6|
|   importer-2|   Transfer(from=importer-2, to=regulator-3)|   9|
|  regulator-3|                       InspectionOperation()|  12|
|  regulator-3|Transfer(from=regulator-3, to=distributor-4)|  15|
|distributor-4|          DistributionOperation(distance=47)|  16|
|distributor-4| Transfer(from=distributor-4, to=retailer-5)|  19|
|   retailer-5|  MarketingOperation(discountPercentage=0.0)|  20|
|   retailer-5|    Transfer(from=retailer-5, to=customer-6)|  23|
|             |                                            |    |
|      CABBAGE|                                            |    |
|     farmer-1|                          HarvestOperation()|   3|
|     farmer-1|      Transfer(from=farmer-1, to=importer-2)|   6|
|   importer-2|                           ImportOperation()|   7|
|   importer-2|   Transfer(from=importer-2, to=regulator-3)|  10|
|  regulator-3|                       InspectionOperation()|  14|
|  regulator-3|Transfer(from=regulator-3, to=distributor-4)|  17|
|distributor-4|          DistributionOperation(distance=85)|  18|
|distributor-4| Transfer(from=distributor-4, to=retailer-5)|  21|
|   retailer-5|  MarketingOperation(discountPercentage=0.0)|  22|
|             |                                            |    |
|          EGG|                                            |    |
|     farmer-1|                          HarvestOperation()|   4|
|     farmer-1|      Transfer(from=farmer-1, to=importer-2)|   7|
|   importer-2|                           ImportOperation()|   8|
|   importer-2|   Transfer(from=importer-2, to=regulator-3)|  11|
|  regulator-3|                       InspectionOperation()|  16|
|  regulator-3|Transfer(from=regulator-3, to=distributor-4)|  19|
|distributor-4|          DistributionOperation(distance=67)|  20|
|distributor-4| Transfer(from=distributor-4, to=retailer-5)|  23|
|             |                                            |    |
|         MILK|                                            |    |
|     farmer-1|                          HarvestOperation()|   7|
|     farmer-1|      Transfer(from=farmer-1, to=importer-2)|  10|
|   importer-2|                           ImportOperation()|  11|
|   importer-2|   Transfer(from=importer-2, to=regulator-3)|  18|
|  regulator-3|                       InspectionOperation()|  23|
|             |                                            |    |
|      CHEESSE|                                            |    |
|     farmer-1|                          HarvestOperation()|   2|
|     farmer-1|      Transfer(from=farmer-1, to=importer-2)|   5|
|   importer-2|                           ImportOperation()|   6|
|   importer-2|   Transfer(from=importer-2, to=regulator-3)|   9|
|  regulator-3|                       InspectionOperation()|  11|
|  regulator-3|Transfer(from=regulator-3, to=distributor-4)|  14|
|distributor-4|          DistributionOperation(distance=11)|  15|
|distributor-4| Transfer(from=distributor-4, to=retailer-5)|  18|
|   retailer-5| MarketingOperation(discountPercentage=28.0)|  19|
|   retailer-5|    Transfer(from=retailer-5, to=customer-6)|  22|
+-------------+--------------------------------------------+----+


SECURITY REPORT
+-----------+-----------------------+---------------------------------------------------------+----+
|      Party|              Violation|                                              Description|Time|
+-----------+-----------------------+---------------------------------------------------------+----+
|regulator-3|DoubleSpendingViolation|Utxo Money(id=utxo_41, amount=9943.67) in transaction 155|  26|
|regulator-3|DoubleSpendingViolation|Utxo Money(id=utxo_59, amount=9597.37) in transaction 185|  59|
|regulator-3|DoubleSpendingViolation|   Utxo Money(id=utxo_70, amount=8.07) in transaction 186|  83|
|regulator-3| BlockMutationViolation|                            Mutation in block Block(5c21)|  87|
+-----------+-----------------------+---------------------------------------------------------+----+
